,Entity,Year,Literacy_Rate,Military_Spendings,GDP_Per_Capita,Child_Mortality_Rate,GDP,HDI,Life_Expectancy,Obesity_Rate
37,Africa,2002,,27262697001.0,,,,,53.368,5.5
38,Africa,2003,,25651232350.0,,,,,53.827,5.7
39,Africa,2004,,26440253150.0,,,,,54.367,5.9
40,Africa,2005,,26972619096.0,,,,,54.982,6.1
41,Africa,2006,,29242959962.0,,,,,55.661,6.4
42,Africa,2007,,29928739623.0,,,,,56.382,6.6
43,Africa,2008,,34386354077.0,,,,,57.121,6.8
44,Africa,2009,,31124399180.0,,,,,57.858,7.1
45,Africa,2010,,30581023394.0,,,,,58.576,7.4
46,Africa,2011,,33731793016.0,,,,,59.263,7.6
47,Africa,2012,,40954142061.0,,,,,59.914,7.9
48,Africa,2013,,46572072041.0,,,,,60.527,8.2
49,Africa,2014,,48787578379.0,,,,,61.093,8.5
50,Africa,2015,,39570862182.0,,,,,61.607,8.8
51,Africa,2016,,38847125088.0,,,,,62.064,9.1
52,Africa,2017,,37083855528.0,,,,,62.472,9.1
53,Africa,2018,,36126322706.0,,,,,62.839,9.1
54,Africa,2019,,36583632712.0,,,,,63.17,9.1
55,Africa,2020,,37234364310.0,,,,,63.17,9.1
56,Africa Eastern and Southern,1966,,,,0.0225015547633375,,,,
57,Africa Eastern and Southern,1967,,,,0.0223580030914373,,,,
58,Africa Eastern and Southern,1968,,,,0.0217266379879567,,,,
59,Africa Eastern and Southern,1969,,,,0.0215964001668412,,,,
60,Africa Eastern and Southern,1970,,,,0.0214680370345707,,,,
61,Africa Eastern and Southern,1971,,,,0.0213282594609971,,,,
62,Africa Eastern and Southern,1972,,,,0.0211859647603794,,,,
63,Africa Eastern and Southern,1973,,,,0.0210498015607222,,,,
64,Africa Eastern and Southern,1974,,,,0.020919488220481,,,,
65,Africa Eastern and Southern,1975,,,,0.0207838228742073,,,,
66,Africa Eastern and Southern,1976,,,,0.0206445071768271,,,,
67,Africa Eastern and Southern,1977,,,,0.0208044636264441,,,,
68,Africa Eastern and Southern,1978,,,,0.0206075204766228,,,,
69,Africa Eastern and Southern,1979,,,,0.0203664794654023,,,,
70,Africa Eastern and Southern,1980,,,,0.0201144165731155,,,,
71,Africa Eastern and Southern,1981,,,,0.0198294570160583,,,,
72,Africa Eastern and Southern,1982,,,,0.0195424246967107,,,,
73,Africa Eastern and Southern,1983,,,,0.0192587919569891,,,,
74,Africa Eastern and Southern,1984,,,,0.018999352795352,,,,
75,Africa Eastern and Southern,1985,,,,0.0187637276415382,,,,
76,Africa Eastern and Southern,1986,,,,0.018551899355996,,,,
77,Africa Eastern and Southern,1987,,,,0.0183560533538605,,,,
78,Africa Eastern and Southern,1988,,,,0.0181663541103238,,,,
79,Africa Eastern and Southern,1989,,,,0.0179760319178941,,,,
80,Africa Eastern and Southern,1990,,,,0.0164782792882383,,,,
81,Africa Eastern and Southern,1991,,,,0.0163112251134738,,,,
82,Africa Eastern and Southern,1992,,,,0.0161446580352564,,,,
83,Africa Eastern and Southern,1993,,,,0.0159827527226228,,,,
84,Africa Eastern and Southern,1994,,,,0.0159567413471452,,,,
85,Africa Eastern and Southern,1995,,,,0.0156552956664439,,,,
86,Africa Eastern and Southern,1996,,,,0.0152700345615116,,,,
87,Africa Eastern and Southern,1997,,,,0.014990710156591,,,,
88,Africa Eastern and Southern,1998,,,,0.0146594030345108,,,,
89,Africa Eastern and Southern,1999,,,,0.0141868149079896,,,,
90,Africa Eastern and Southern,2000,,,,0.013691781510692,,,,
91,Africa Eastern and Southern,2001,,,,0.0131670421688419,,,,
92,Africa Eastern and Southern,2002,,,,0.0126139084679722,,,,
93,Africa Eastern and Southern,2003,,,,0.0120635992740741,,,,
94,Africa Eastern and Southern,2004,,,,0.0115263631892629,,,,
95,Africa Eastern and Southern,2005,,,,0.0110060054733933,,,,
96,Africa Eastern and Southern,2006,,,,0.0105196185066376,,,,
97,Africa Eastern and Southern,2007,,,,0.010027638033487,,,,
98,Africa Eastern and Southern,2008,,,,0.0095395228303126,,,,
99,Africa Eastern and Southern,2009,,,,0.009059821729811,,,,
100,Africa Eastern and Southern,2010,,,,0.008620858749841,,,,
101,Africa Eastern and Southern,2011,,,,0.0082105187397727,,,,
102,Africa Eastern and Southern,2012,,,,0.0078354228452793,,,,
103,Africa Eastern and Southern,2013,,,,0.0074991597446773,,,,
104,Africa Eastern and Southern,2014,,,,0.007199684098513,,,,
105,Africa Eastern and Southern,2015,,,,0.0069288946859285,,,,
106,Africa Eastern and Southern,2016,,,,0.0066667613902045,,,,
107,Africa Eastern and Southern,2017,,,,0.0064347024717919,,,,
108,Africa Eastern and Southern,2018,,,,0.0062115387113257,,,,
109,Africa Eastern and Southern,2019,,,,0.0060098658835955,,,,
110,Africa Western and Central,1965,,,,0.0302620962389165,,,,
111,Africa Western and Central,1966,,,,0.029697696679256,,,,
112,Africa Western and Central,1967,,,,0.0292383457265374,,,,
113,Africa Western and Central,1968,,,,0.0287324724827962,,,,
114,Africa Western and Central,1969,,,,0.0282097684605828,,,,
115,Africa Western and Central,1970,,,,0.0276558192035317,,,,
116,Africa Western and Central,1971,,,,0.0270886832924691,,,,
117,Africa Western and Central,1972,,,,0.0264436081572676,,,,
118,Africa Western and Central,1973,,,,0.0258214945435702,,,,
119,Africa Western and Central,1974,,,,0.0251817502729151,,,,
120,Africa Western and Central,1975,,,,0.0245352965865724,,,,
121,Africa Western and Central,1976,,,,0.0238840957926327,,,,
122,Africa Western and Central,1977,,,,0.0232655140433123,,,,
123,Africa Western and Central,1978,,,,0.0226503724032789,,,,
124,Africa Western and Central,1979,,,,0.0221359544090835,,,,
125,Africa Western and Central,1980,,,,0.0216993767360711,,,,
126,Africa Western and Central,1981,,,,0.021335520206839,,,,
127,Africa Western and Central,1982,,,,0.021048411327976,,,,
128,Africa Western and Central,1983,,,,0.0208259789762014,,,,
129,Africa Western and Central,1984,,,,0.020642253116473,,,,
130,Africa Western and Central,1985,,,,0.0205001494901194,,,,
131,Africa Western and Central,1986,,,,0.020346759624212,,,,
132,Africa Western and Central,1987,,,,0.0201999116848471,,,,
133,Africa Western and Central,1988,,,,0.0200571179287221,,,,
134,Africa Western and Central,1989,,,,0.0199128883955419,,,,
135,Africa Western and Central,1990,,,,0.0197641838178307,,,,
136,Africa Western and Central,1991,,,,0.0196159930466144,,,,
137,Africa Western and Central,1992,,,,0.0194663157435673,,,,
138,Africa Western and Central,1993,,,,0.019307194947131,,,,
139,Africa Western and Central,1994,,,,0.0191205855838116,,,,
140,Africa Western and Central,1995,,,,0.0188838059569109,,,,
141,Africa Western and Central,1996,,,,0.0186010369772561,,,,
142,Africa Western and Central,1997,,,,0.0182633896545684,,,,
143,Africa Western and Central,1998,,,,0.0178752401552528,,,,
144,Africa Western and Central,1999,,,,0.017435467323989,,,,
145,Africa Western and Central,2000,,,,0.0169548431724224,,,,
146,Africa Western and Central,2001,,,,0.0164533823813334,,,,
147,Africa Western and Central,2002,,,,0.0159251949600348,,,,
148,Africa Western and Central,2003,,,,0.0153916284962303,,,,
149,Africa Western and Central,2004,,,,0.0148577352539515,,,,
150,Africa Western and Central,2005,,,,0.0143417383766091,,,,
151,Africa Western and Central,2006,,,,0.0138502671854117,,,,
152,Africa Western and Central,2007,,,,0.0133769481224868,,,,
153,Africa Western and Central,2008,,,,0.0129488332475629,,,,
154,Africa Western and Central,2009,,,,0.0125450491171578,,,,
155,Africa Western and Central,2010,,,,0.0121783272477349,,,,
156,Africa Western and Central,2011,,,,0.0118442691483882,,,,
157,Africa Western and Central,2012,,,,0.0115498790719605,,,,
158,Africa Western and Central,2013,,,,0.011266792262677,,,,
159,Africa Western and Central,2014,,,,0.0110264425784691,,,,
160,Africa Western and Central,2015,,,,0.0107765704982356,,,,
161,Africa Western and Central,2016,,,,0.010505555174706,,,,
162,Africa Western and Central,2017,,,,0.0102430679635338,,,,
163,Africa Western and Central,2018,,,,0.0099598780605142,,,,
164,Africa Western and Central,2019,,,,0.0096814239602825,,,,
165,Americas,1965,,,,,,,63.66625528,
166,Americas,1966,,,,,,,63.88622618,
167,Americas,1967,,,,,,,64.11691127,
168,Americas,1968,,,,,,,64.36515254,
169,Americas,1969,,,,,,,64.63369933,
170,Americas,1970,,,,,,,64.92574088,9.0
171,Americas,1971,,,,,,,65.24267958,9.0
172,Americas,1972,,,,,,,65.58026746,9.0
173,Americas,1973,,,,,,,65.93072577,9.0
174,Americas,1974,,,,,,,66.28955265,9.0
175,Americas,1975,,,,,,,66.65087235,9.0
176,Americas,1976,,,,,,,67.00899463,9.3
177,Americas,1977,,,,,,,67.35940074,9.5
178,Americas,1978,,,,,,,67.69830141,9.8
179,Americas,1979,,,,,,,68.02206614,10.1
180,Americas,1980,,,,,,,68.32929356,10.4
181,Americas,1981,,,,,,,68.61703445,10.7
182,Americas,1982,,,,,,,68.89015226,11.1
183,Americas,1983,,,,,,,69.1519207,11.4
184,Americas,1984,,,,,,,69.40474575,11.8
185,Americas,1985,,,,,,,69.65325858,12.2
186,Americas,1986,,,,,,,69.90010634,12.6
187,Americas,1987,,,,,,,70.14853528,13.0
188,Americas,1988,,,,,,,70.40128342,13.5
189,Americas,1989,,,,,,,70.65779572,13.9
190,Americas,1990,,,,,,,70.92044409,14.4
191,Americas,1991,,,,,,,71.18773869,14.9
192,Americas,1992,,,,,,,71.45792226,15.4
193,Americas,1993,,,,,,,71.72880883,15.9
194,Americas,1994,,,,,,,71.99914275,16.4
195,Americas,1995,,,,,,,72.26824757,17.0
196,Americas,1996,,,,,,,72.53597252,17.5
197,Americas,1997,,,,,,,72.8009705,18.1
198,Americas,1998,,,,,,,73.06324586,18.7
199,Americas,1999,,,,,,,73.32034347,19.2
200,Americas,2000,,,,,,,73.57207701,19.8
201,Americas,2001,,,,,,,73.81901117,20.4
202,Americas,2002,,,,,,,74.06140216,21.0
203,Americas,2003,,,,,,,74.29901207,21.5
204,Americas,2004,,,,,,,74.53184348,22.1
205,Americas,2005,,,,,,,74.75972955,22.7
206,Americas,2006,,,,,,,74.98255907,23.2
207,Americas,2007,,,,,,,75.19889267,23.8
208,Americas,2008,,,,,,,75.40791766,24.4
209,Americas,2009,,,,,,,75.6064355,25.0
210,Americas,2010,,,,,,,75.79106424,25.5
211,Americas,2011,,,,,,,75.95720977,26.1
212,Americas,2012,,,,,,,76.10318017,26.7
213,Americas,2013,,,,,,,76.23112521,27.3
214,Americas,2014,,,,,,,76.34333386,27.8
215,Americas,2015,,,,,,,76.44286453,28.4
216,Americas,2016,,,,,,,76.53703933,29.0
217,Americas,2017,,,,,,,76.62993096,29.0
218,Americas,2018,,,,,,,76.72842701,29.0
219,Americas,2019,,,,,,,76.83538896,29.0
220,Arab World,1990,54.593472,,,0.0080488280090109,,,,
221,Arab World,1991,55.7347313,,,0.0078061012230483,,,,
222,Arab World,1992,56.8759906,,,0.007578905408117,,,,
223,Arab World,1993,58.0172499,,,0.0073649252349994,,,,
224,Arab World,1994,59.158509200000005,,,0.0071602637910626,,,,
225,Arab World,1995,60.2997685,,,0.0069598626967211,,,,
226,Arab World,1996,61.4410278,,,0.0067618897134088,,,,
227,Arab World,1997,62.5822871,,,0.0065708224258881,,,,
228,Arab World,1998,63.7235464,,,0.0063797085309694,,,,
229,Arab World,1999,64.8648057,,,0.0061931281217263,,,,
230,Arab World,2000,66.006065,,,0.0060073284758054,,,,
231,Arab World,2001,67.1419171,,,0.0058219583049331,,,,
232,Arab World,2002,68.27776920000001,,,0.005637405353247,,,,
233,Arab World,2003,69.4136213,,,0.0054600155826394,,,,
234,Arab World,2004,70.54947340000001,,,0.0052846560940377,,,,
235,Arab World,2005,71.6853255,,,0.0051155626549805,,,,
236,Arab World,2006,72.8211776,,,0.0049440412263385,,,,
237,Arab World,2007,73.9570297,,,0.0047687114389826,,,,
238,Arab World,2008,75.0928818,,,0.004591905109032,,,,
239,Arab World,2009,76.22873390000001,,,0.0044213489456505,,,,
240,Arab World,2010,77.364586,,,0.0042676352290073,,,,
241,Arab World,2011,77.364586,,,0.004135791038189,,,,
242,Arab World,2012,77.364586,,,0.0040265326314682,,,,
243,Arab World,2013,77.364586,,,0.0039254452414367,,,,
244,Arab World,2014,77.364586,,,0.0038320977267058,,,,
245,Arab World,2015,77.364586,,,0.0037551259103164,,,,
246,Arab World,2016,,,,0.0036754883540755,,,,
247,Arab World,2017,,,,0.0035979009699555,,,,
248,Arab World,2018,,,,0.0035353895574749,,,,
249,Arab World,2019,,,,0.0034668926298582,,,,
250,Asia,1965,,30133041876.0,,,,,49.456,
251,Asia,1966,,33000177947.0,,,,,50.664,
252,Asia,1967,,36741635916.0,,,,,51.851,
253,Asia,1968,,40753313983.0,,,,,52.95,
254,Asia,1969,,45504548631.0,,,,,53.93,
255,Asia,1970,,51717492813.0,,,,,54.778,
256,Asia,1971,,56513207228.0,,,,,55.505,
257,Asia,1972,,62333539335.0,,,,,56.155,
258,Asia,1973,,69354769039.0,,,,,56.764,
259,Asia,1974,,80852407588.0,,,,,57.345,
260,Asia,1975,,89839302584.0,,,,,57.904,
261,Asia,1976,,103623385781.0,,,,,58.445,
262,Asia,1977,,122541304571.0,,,,,58.962,
263,Asia,1978,,129321846985.0,,,,,59.456,
264,Asia,1979,,127849550592.0,,,,,59.928,
265,Asia,1980,,137094073490.0,,,,,60.385,
266,Asia,1981,,152957113721.0,,,,,60.83,
267,Asia,1982,,161953918164.0,,,,,61.265,
268,Asia,1983,,153762317940.0,,,,,61.689,
269,Asia,1984,,159039116186.0,,,,,62.105,
270,Asia,1985,,160588606244.0,,,,,62.508,
271,Asia,1986,,129373179614.0,,,,,62.896,
272,Asia,1987,,162301377043.0,,,,,63.263,
273,Asia,1988,,164580998404.0,,,,,63.61,
274,Asia,1989,,184627413519.0,,,,,63.938,
275,Asia,1990,,216463782566.0,,,,,64.25,
276,Asia,1991,,227583594332.0,,,,,64.551,
277,Asia,1992,,215397423317.0,,,,,64.846,
278,Asia,1993,,215627715211.0,,,,,65.14,
279,Asia,1994,,213967834194.0,,,,,65.44,
280,Asia,1995,,214614282384.0,,,,,65.748,
281,Asia,1996,,219442648402.0,,,,,66.067,
282,Asia,1997,,239484306667.0,,,,,66.397,
283,Asia,1998,,244204813406.0,,,,,66.735,
284,Asia,1999,,252045869059.0,,,,,67.081,
285,Asia,2000,,264830626481.0,,,,,67.432,
286,Asia,2001,,277570991108.0,,,,,67.786,
287,Asia,2002,,285218590114.0,,,,,68.139,
288,Asia,2003,,297779746936.0,,,,,68.489,
289,Asia,2004,,319841899893.0,,,,,68.835,
290,Asia,2005,,340871354871.0,,,,,69.179,
291,Asia,2006,,362068733972.0,,,,,69.525,
292,Asia,2007,,387484213261.0,,,,,69.876,
293,Asia,2008,,406003634548.0,,,,,70.231,
294,Asia,2009,,445837798270.0,,,,,70.591,
295,Asia,2010,,459560797135.0,,,,,70.951,
296,Asia,2011,,473368330138.0,,,,,71.309,
297,Asia,2012,,504688162661.0,,,,,71.659,
298,Asia,2013,,534914889766.0,,,,,71.997,
299,Asia,2014,,564470404901.0,,,,,72.319,
300,Asia,2015,,567287777157.0,,,,,72.62,
301,Asia,2016,,562489526775.0,,,,,72.897,
302,Asia,2017,,594898100633.0,,,,,73.15,
303,Asia,2018,,614999626739.0,,,,,73.381,
304,Asia,2019,,617128801999.0,,,,,73.593,
305,Asia,2020,,618573232430.0,,,,,73.593,
306,Bonaire Sint Eustatius and Saba,1965,,,,,,,67.502,
307,Bonaire Sint Eustatius and Saba,1966,,,,,,,67.811,
308,Bonaire Sint Eustatius and Saba,1967,,,,,,,68.117,
309,Bonaire Sint Eustatius and Saba,1968,,,,,,,68.424,
310,Bonaire Sint Eustatius and Saba,1969,,,,,,,68.739,
311,Bonaire Sint Eustatius and Saba,1970,,,,,,,69.071,
312,Bonaire Sint Eustatius and Saba,1971,,,,,,,69.429,
313,Bonaire Sint Eustatius and Saba,1972,,,,,,,69.811,
314,Bonaire Sint Eustatius and Saba,1973,,,,,,,70.215,
315,Bonaire Sint Eustatius and Saba,1974,,,,,,,70.635,
316,Bonaire Sint Eustatius and Saba,1975,,,,,,,71.065,
317,Bonaire Sint Eustatius and Saba,1976,,,,,,,71.494,
318,Bonaire Sint Eustatius and Saba,1977,,,,,,,71.911,
319,Bonaire Sint Eustatius and Saba,1978,,,,,,,72.304,
320,Bonaire Sint Eustatius and Saba,1979,,,,,,,72.667,
321,Bonaire Sint Eustatius and Saba,1980,,,,,,,72.993,
322,Bonaire Sint Eustatius and Saba,1981,,,,,,,73.281,
323,Bonaire Sint Eustatius and Saba,1982,,,,,,,73.534,
324,Bonaire Sint Eustatius and Saba,1983,,,,,,,73.756,
325,Bonaire Sint Eustatius and Saba,1984,,,,,,,73.946,
326,Bonaire Sint Eustatius and Saba,1985,,,,,,,74.104,
327,Bonaire Sint Eustatius and Saba,1986,,,,,,,74.226,
328,Bonaire Sint Eustatius and Saba,1987,,,,,,,74.315,
329,Bonaire Sint Eustatius and Saba,1988,,,,,,,74.374,
330,Bonaire Sint Eustatius and Saba,1989,,,,,,,74.407,
331,Bonaire Sint Eustatius and Saba,1990,,,,,,,74.417,
332,Bonaire Sint Eustatius and Saba,1991,,,,,,,74.406,
333,Bonaire Sint Eustatius and Saba,1992,,,,,,,74.378,
334,Bonaire Sint Eustatius and Saba,1993,,,,,,,74.343,
335,Bonaire Sint Eustatius and Saba,1994,,,,,,,74.306,
336,Bonaire Sint Eustatius and Saba,1995,,,,,,,74.277,
337,Bonaire Sint Eustatius and Saba,1996,,,,,,,74.26,
338,Bonaire Sint Eustatius and Saba,1997,,,,,,,74.261,
339,Bonaire Sint Eustatius and Saba,1998,,,,,,,74.284,
340,Bonaire Sint Eustatius and Saba,1999,,,,,,,74.333,
341,Bonaire Sint Eustatius and Saba,2000,,,,,,,74.419,
342,Bonaire Sint Eustatius and Saba,2001,,,,,,,74.548,
343,Bonaire Sint Eustatius and Saba,2002,,,,,,,74.72,
344,Bonaire Sint Eustatius and Saba,2003,,,,,,,74.926,
345,Bonaire Sint Eustatius and Saba,2004,,,,,,,75.158,
346,Bonaire Sint Eustatius and Saba,2005,,,,,,,75.402,
347,Bonaire Sint Eustatius and Saba,2006,,,,,,,75.638,
348,Bonaire Sint Eustatius and Saba,2007,,,,,,,75.853,
349,Bonaire Sint Eustatius and Saba,2008,,,,,,,76.037,
350,Bonaire Sint Eustatius and Saba,2009,,,,,,,76.19,
351,Bonaire Sint Eustatius and Saba,2010,,,,,,,76.319,
352,Bonaire Sint Eustatius and Saba,2011,,,,,,,76.435,
353,Bonaire Sint Eustatius and Saba,2012,,,,,,,76.556,
354,Bonaire Sint Eustatius and Saba,2013,,,,,,,76.694,
355,Bonaire Sint Eustatius and Saba,2014,,,,,,,76.854,
356,Bonaire Sint Eustatius and Saba,2015,,,,,,,77.033,
357,Bonaire Sint Eustatius and Saba,2016,,,,,,,77.225,
358,Bonaire Sint Eustatius and Saba,2017,,,,,,,77.42,
359,Bonaire Sint Eustatius and Saba,2018,,,,,,,77.608,
360,Bonaire Sint Eustatius and Saba,2019,,,,,,,77.788,
361,Caribbean Small States,1990,,,,0.003487066418906,,,,
362,Caribbean Small States,1991,,,,0.0033895386034854,,,,
363,Caribbean Small States,1992,,,,0.0032942079838513,,,,
364,Caribbean Small States,1993,,,,0.0032026833712022,,,,
365,Caribbean Small States,1994,,,,0.0031131648196984,,,,
366,Caribbean Small States,1995,,,,0.0030261727898389,,,,
367,Caribbean Small States,1996,,,,0.0029471146804986,,,,
368,Caribbean Small States,1997,,,,0.0028717429472616,,,,
369,Caribbean Small States,1998,,,,0.0027986403920342,,,,
370,Caribbean Small States,1999,,,,0.0027310671175897,,,,
371,Caribbean Small States,2000,,,,0.0026680434882439,,,,
372,Caribbean Small States,2001,,,,0.0026074070885015,,,,
373,Caribbean Small States,2002,,,,0.0025520331301643,,,,
374,Caribbean Small States,2003,,,,0.0025000733016725,,,,
375,Caribbean Small States,2004,,,,0.0024488163612166,,,,
376,Caribbean Small States,2005,,,,0.0024033814629574,,,,
377,Caribbean Small States,2006,,,,0.0023585048507371,,,,
378,Caribbean Small States,2007,,,,0.0023130292573634,,,,
379,Caribbean Small States,2008,,,,0.0022667916820778,,,,
380,Caribbean Small States,2009,,,,0.002217201272149,,,,
381,Caribbean Small States,2010,,,,0.0021656416472932,,,,
382,Caribbean Small States,2011,,,,0.0021118405635025,,,,
383,Caribbean Small States,2012,,,,0.0020624334345586,,,,
384,Caribbean Small States,2013,,,,0.0020087421473804,,,,
385,Caribbean Small States,2014,,,,0.0019560452360566,,,,
386,Caribbean Small States,2015,,,,0.0018948728311378,,,,
387,Caribbean Small States,2016,,,,0.0018420195615803,,,,
388,Caribbean Small States,2017,,,,0.0017868180168973,,,,
389,Caribbean Small States,2018,,,,0.0017357976968673,,,,
390,Caribbean Small States,2019,,,,0.0016832664273615,,,,
391,Caribbean small states,2000,88.137802,,,,,,,
392,Caribbean small states,2001,88.50009299999999,,,,,,,
393,Caribbean small states,2002,88.86238399999999,,,,,,,
394,Caribbean small states,2003,89.22467499999999,,,,,,,
395,Caribbean small states,2004,89.58696599999999,,,,,,,
396,Caribbean small states,2005,89.94925699999999,,,,,,,
397,Caribbean small states,2006,90.311548,,,,,,,
398,Caribbean small states,2007,90.673839,,,,,,,
399,Caribbean small states,2008,91.03613,,,,,,,
400,Caribbean small states,2009,91.398421,,,,,,,
401,Caribbean small states,2010,91.760712,,,,,,,
402,Central Europe and the Baltics,1990,98.594963,,,0.0019395194945124,,,,
403,Central Europe and the Baltics,1991,98.6314857,,,0.0018754867589366,,,,
404,Central Europe and the Baltics,1992,98.6680084,,,0.0018239388028234,,,,
405,Central Europe and the Baltics,1993,98.7045311,,,0.0017664713503903,,,,
406,Central Europe and the Baltics,1994,98.7410538,,,0.0016987735335512,,,,
407,Central Europe and the Baltics,1995,98.7775765,,,0.0016247862978428,,,,
408,Central Europe and the Baltics,1996,98.8140992,,,0.0015473823579047,,,,
409,Central Europe and the Baltics,1997,98.8506219,,,0.0014690142451775,,,,
410,Central Europe and the Baltics,1998,98.8871446,,,0.001383189195003,,,,
411,Central Europe and the Baltics,1999,98.9236673,,,0.0012971945821014,,,,
412,Central Europe and the Baltics,2000,98.96019,,,0.0012194711300791,,,,
413,Central Europe and the Baltics,2001,99.0002672,,,0.0011626858739174,,,,
414,Central Europe and the Baltics,2002,99.0403444,,,0.0011228824190383,,,,
415,Central Europe and the Baltics,2003,99.0804216,,,0.001086666950562,,,,
416,Central Europe and the Baltics,2004,99.1204988,,,0.0010421003877701,,,,
417,Central Europe and the Baltics,2005,99.160576,,,0.0009910224152923,,,,
418,Central Europe and the Baltics,2006,99.2006532,,,0.0009294787484728,,,,
419,Central Europe and the Baltics,2007,99.2407304,,,0.0008704453583475,,,,
420,Central Europe and the Baltics,2008,99.2808076,,,0.0008160208002412,,,,
421,Central Europe and the Baltics,2009,99.3208848,,,0.0007688355182132,,,,
422,Central Europe and the Baltics,2010,99.360962,,,0.0007340765695591,,,,
423,Central Europe and the Baltics,2011,99.360962,,,0.0006987830214342,,,,
424,Central Europe and the Baltics,2012,99.360962,,,0.0006650880500934,,,,
425,Central Europe and the Baltics,2013,99.360962,,,0.0006326148622037,,,,
426,Central Europe and the Baltics,2014,99.360962,,,0.0006003125160552,,,,
427,Central Europe and the Baltics,2015,99.360962,,,0.000570451049347,,,,
428,Central Europe and the Baltics,2016,,,,0.0005478633570148,,,,
429,Central Europe and the Baltics,2017,,,,0.0005271214525239,,,,
430,Central Europe and the Baltics,2018,,,,0.0005025752255669,,,,
431,Central Europe and the Baltics,2019,,,,0.0004821004158759,,,,
432,Channel Islands,1965,,,,,,,71.265,
433,Channel Islands,1966,,,,,,,71.391,
434,Channel Islands,1967,,,,,,,71.512,
435,Channel Islands,1968,,,,,,,71.623,
436,Channel Islands,1969,,,,,,,71.726,
437,Channel Islands,1970,,,,,,,71.823,
438,Channel Islands,1971,,,,,,,71.919,
439,Channel Islands,1972,,,,,,,72.02,
440,Channel Islands,1973,,,,,,,72.133,
441,Channel Islands,1974,,,,,,,72.261,
442,Channel Islands,1975,,,,,,,72.409,
443,Channel Islands,1976,,,,,,,72.58,
444,Channel Islands,1977,,,,,,,72.773,
445,Channel Islands,1978,,,,,,,72.983,
446,Channel Islands,1979,,,,,,,73.208,
447,Channel Islands,1980,,,,,,,73.439,
448,Channel Islands,1981,,,,,,,73.668,
449,Channel Islands,1982,,,,,,,73.89,
450,Channel Islands,1983,,,,,,,74.101,
451,Channel Islands,1984,,,,,,,74.3,
452,Channel Islands,1985,,,,,,,74.486,
453,Channel Islands,1986,,,,,,,74.66,
454,Channel Islands,1987,,,,,,,74.829,
455,Channel Islands,1988,,,,,,,75.004,
456,Channel Islands,1989,,,,,,,75.192,
457,Channel Islands,1990,,,,,,,75.41,
458,Channel Islands,1991,,,,,,,75.673,
459,Channel Islands,1992,,,,,,,75.988,
460,Channel Islands,1993,,,,,,,76.351,
461,Channel Islands,1994,,,,,,,76.755,
462,Channel Islands,1995,,,,,,,77.184,
463,Channel Islands,1996,,,,,,,77.616,
464,Channel Islands,1997,,,,,,,78.028,
465,Channel Islands,1998,,,,,,,78.406,
466,Channel Islands,1999,,,,,,,78.742,
467,Channel Islands,2000,,,,,,,79.037,
468,Channel Islands,2001,,,,,,,79.3,
469,Channel Islands,2002,,,,,,,79.548,
470,Channel Islands,2003,,,,,,,79.795,
471,Channel Islands,2004,,,,,,,80.045,
